ID,names,masl,s_name,owner,mun,X,Y,From,To,timeOffset,timeResolution
SN17550,E6 SONSVEIEN,25,Sonsveien,STATENS VEGVESEN,VESTBY,10.7252,59.5177,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN4460,HAKADAL JERNBANESTASJON,170,Hakadal,BANE NOR,NITTEDAL,10.829,60.1173,2007-10-17T00:00:00.000Z,NA,PT0H,PT1H
SN18420,OSLO - DISEN,130,NA,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.7903,59.9463,1998-06-02T00:00:00.000Z,2018-12-31T00:00:00.000Z,PT0H,PT1H
SN4110,LØRENSKOG - HANEBORG,231,Haneborg ,LØRENSKOG KOMMUNE,LØRENSKOG,10.9762,59.946,2015-01-19T00:00:00.000Z,NA,PT0H,PT1H
SN18815,OSLO - BYGDØY,15,Bygdøy,MET.NO,OSLO,10.6828,59.905,2002-01-01T00:00:00.000Z,NA,PT0H,PT1H
SN27015,DRAMMEN - JARLSBERGVEIEN,230,Jarlsbergveien ,DRAMMEN KOMMUNE,DRAMMEN,10.1458,59.7192,2012-10-13T00:00:00.000Z,NA,PT0H,PT1H
SN18315,OSLO - SOFIENBERG,37,Sofienberg ,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.7623,59.919,2015-07-07T00:00:00.000Z,NA,PT0H,PT1H
SN32060,GVARV - NES,93,Gvarv,MET.NO,MIDT-TELEMARK,9.2128,59.3822,2009-12-01T00:00:00.000Z,NA,PT0H,PT1H
SN18405,OSLO - SANDAKER,110,Sandaker,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7727,59.9398,2016-03-02T00:00:00.000Z,NA,PT0H,PT1H
SN17005,ONSØY - ØYENKILEN,5,NA,FREDRIKSTAD KOMMUNE,FREDRIKSTAD,10.8487,59.1735,2003-07-11T00:00:00.000Z,2017-03-31T00:00:00.000Z,PT0H,PT1H
SN20280,HØNEFOSS - HVERVEN,126,Hverven,NIBIO,RINGERIKE,10.2662,60.1403,2013-02-13T00:00:00.000Z,NA,PT0H,PT1H
SN18701,OSLO - BLINDERN PLU,94,NA,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.7201,59.94227,1968-04-17T00:00:00.000Z,NA,PT0H,PT1H
SN17050,RÅDE - TOMB,12,Tomb,NIBIO,RÅDE,10.8145,59.3188,2013-02-05T00:00:00.000Z,NA,PT0H,PT1H
SN19670,ASKER - NESBRU,30,Nesbru,ASKER KOMMUNE,ASKER,10.4966,59.86635,2019-10-21T00:00:00.000Z,NA,PT0H,PT1H
SN4920,ÅRNES,160,Årnes,NIBIO,NES,11.3933,60.1268,2010-05-12T00:00:00.000Z,NA,PT0H,PT1H
SN2480,FV21 TANGEN,171,Tangen ,STATENS VEGVESEN,AURSKOG-HØLAND,11.7178,59.8438,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN4950,FV175 FOLMO,145,Folmo,STATENS VEGVESEN,NES,11.494,60.1468,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26500,GEITHUS,64,Geithus ,MODUM KOMMUNE,MODUM,9.9728,59.9202,2015-06-16T00:00:00.000Z,NA,PT0H,PT1H
SN3290,RAKKESTAD,100,Rakkestad,NIBIO,RAKKESTAD,11.3905,59.3882,2009-07-02T00:00:00.000Z,NA,PT0H,PT1H
SN26590,DRAMMEN - SLETTA,4,Drammen Sletta ,DRAMMEN KOMMUNE,DRAMMEN,10.2312,59.7445,2015-06-16T00:00:00.000Z,NA,PT0H,PT1H
SN19825,TOFTE - RULLETO,9,Tofte ,HURUM KOMMUNE,ASKER,10.5813,59.5513,2017-09-22T00:00:00.000Z,NA,PT0H,PT1H
SN3030,FREDRIKSTAD,30,NA,FREDRIKSTAD KOMMUNE,FREDRIKSTAD,10.9632,59.2307,1970-05-31T00:00:00.000Z,2016-07-31T00:00:00.000Z,PT0H,PT1H
SN30340,SKIEN - PETERSBORG,35,Petersborg ,SKIEN KOMMUNE,SKIEN,9.5908,59.2317,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
SN27460,NØTTERØY - BORGHEIM,5,Borgheim,FÆRDER KOMMUNE,FÆRDER,10.4103,59.2173,2003-04-01T00:00:00.000Z,NA,PT0H,PT1H
SN18390,OSLO - BJØLSEN,74,Bjølsen,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7483,59.9418,2014-05-05T00:00:00.000Z,NA,PT0H,PT1H
SN26934,DRAMMEN - SOLUMSTRAND,5,Solumstrand ,DRAMMEN KOMMUNE,DRAMMEN,10.2688,59.7112,2012-09-25T00:00:00.000Z,NA,PT0H,PT1H
SN27400,NØTTERØY - FØYNLAND,2,Føynland,FÆRDER KOMMUNE,FÆRDER,10.45604,59.23662,2015-12-31T00:00:00.000Z,NA,PT0H,PT1H
SN30325,SKIEN - LANGEDUKEN,30,Langeduken ,SKIEN KOMMUNE,SKIEN,9.5432,59.2017,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
SN3015,BORGE - BERG,10,NA,FREDRIKSTAD KOMMUNE,FREDRIKSTAD,11.032,59.1895,2003-01-01T00:00:00.000Z,2017-03-31T00:00:00.000Z,PT0H,PT1H
SN18240,E6 FURUSET,160,Furuset,STATENS VEGVESEN,OSLO,10.8905,59.9378,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26898,DRAMMEN - ÅSSIDEN,15,Åssiden ,DRAMMEN KOMMUNE,DRAMMEN,10.1382,59.7538,2012-10-10T00:00:00.000Z,NA,PT0H,PT1H
SN4827,FV172 HOLTER,128,Holter,STATENS VEGVESEN,LILLESTRØM,11.203,59.9542,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN17980,OSLO - LJABRUVEIEN,92,NA,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.8236,59.8427,2000-08-18T00:00:00.000Z,NA,PT0H,PT1H
SN26790,MJØNDALEN - ORKIDEHØGDA,4,Orkidéhøgda ,NEDRE EIKER KOMMUNE,DRAMMEN,10.0275,59.7498,2015-03-12T00:00:00.000Z,NA,PT0H,PT1H
SN26862,DRAMMEN TINGHUS,15,Drammen tinghus ,DRAMMEN KOMMUNE,DRAMMEN,10.2118,59.744,2012-10-14T00:00:00.000Z,NA,PT0H,PT1H
SN18500,BJØRNHOLT,360,Bjørnholt,MET.NO,OSLO,10.6878,60.0513,2007-05-10T00:00:00.000Z,NA,PT0H,PT1H
SN18195,OSLO - HØYENHALL,80,Høyenhall,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.8212,59.9033,2014-05-05T00:00:00.000Z,NA,PT0H,PT1H
SN19810,RØYKEN - SKOGSBORG,3,Skogsborg ,RØYKEN KOMMUNE,ASKER,10.5198,59.6919,2016-02-11T00:00:00.000Z,NA,PT0H,PT1H
SN4785,GARDERMOEN PLU,203,Gardermoen,AVINOR/FNT REGION GARDERMOEN,NANNESTAD,11.0782,60.2105,2018-02-12T00:00:00.000Z,NA,PT0H,PT1H
SN18180,OSLO - TRASOP,176,Trasop,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.847,59.907,2013-05-22T00:00:00.000Z,NA,PT0H,PT1H
SN27403,NØTTERØY - KNARRBERG,1,Knarrberg,FÆRDER KOMMUNE,FÆRDER,10.45442,59.2084,2015-12-31T00:00:00.000Z,NA,PT0H,PT1H
SN19490,GJETTUM,67,Gjettum,BÆRUM KOMMUNE,BÆRUM,10.5122,59.9058,1970-07-04T00:00:00.000Z,NA,PT0H,PT1H
SN27161,HORTEN - SKOPPUM,40,SKOPPUM ,HORTEN KOMMUNE,HORTEN,10.3985,59.3845,2018-09-27T00:00:00.000Z,NA,PT0H,PT1H
SN4543,RV4 STRYKEN,235,NA,STATENS VEGVESEN,LUNNER,10.7217,60.157,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN17875,E18 HOLSTAD,91,NA,STATENS VEGVESEN,ÅS,10.8312,59.685,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN18162,OSLO - KVÆRNERBYEN,15,Kværnerbyen,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7864,59.9047,2014-05-05T00:00:00.000Z,NA,PT0H,PT1H
SN18270,OSLO - VESTLI,200,NA,NVE,OSLO,10.9333,59.9667,1974-05-04T00:00:00.000Z,NA,PT0H,PT1H
SN2560,FV169 ÅSERUD,204,Åserud,STATENS VEGVESEN,AURSKOG-HØLAND,11.3625,59.8388,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN30247,E18 LANNER,130,Lanner,STATENS VEGVESEN,PORSGRUNN,9.771,59.1005,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26820,HOKKSUND,15,Hokksund,NIBIO,ØVRE EIKER,9.8922,59.7613,2013-02-06T00:00:00.000Z,NA,PT0H,PT1H
SN27780,TJØLLING,19,Tjølling,NIBIO,LARVIK,10.125,59.0467,2013-02-06T00:00:00.000Z,NA,PT0H,PT1H
